Hylak_id,longitude,latitude,fish_ID3
1424006,115.776160845269,-31.9733281366346,87
184319,116.195660845269,-31.9749281366346,87
1424028,115.515760845269,-31.9942281366346,87
1424035,115.537660845269,-32.0028281366345,87
1424036,115.522860845269,-32.0055281366346,87
1424062,116.069360845269,-32.0449281366346,87
1424090,117.401660845269,-32.0703281366345,87
1424092,115.824660845269,-32.0771281366345,87
1424103,115.825160845269,-32.0950281366345,87
1424116,115.830060845269,-32.1181281366346,87
1424119,115.778860845269,-32.1414281366345,87
184347,115.829360845269,-32.1501281366346,87
184348,116.136660845269,-32.1522281366346,87
1424135,116.080060845269,-32.1523281366346,87
184349,115.937660845269,-32.1590281366346,87
1424147,117.335760845269,-32.1657281366346,87
1424161,115.825160845269,-32.1933281366346,87
184358,116.069060845269,-32.2082281366345,87
1424173,115.820560845269,-32.2155281366346,87
1424172,117.285960845269,-32.2180281366346,87
1424174,117.292460845269,-32.2222281366346,87
1424180,117.282760845269,-32.2237281366346,87
1424179,116.893560845269,-32.2248281366346,87
1424175,117.300460845269,-32.2248281366346,87
1424181,117.289460845269,-32.2250281366346,87
1424178,117.275060845269,-32.2269281366346,87
1424185,117.279560845269,-32.2309281366345,87
1424193,117.253760845269,-32.2319281366345,87
1424192,117.247360845269,-32.2320281366346,87
1424189,117.215660845269,-32.2324281366346,87
184372,117.207260845269,-32.2332281366346,87
1424188,117.301360845269,-32.2335281366346,87
1424191,117.221760845269,-32.2352281366346,87
184365,117.358260845269,-32.2355281366346,87
1424194,117.228660845269,-32.2361281366346,87
184367,117.238260845269,-32.2370281366346,87
184366,117.288260845269,-32.2381281366345,87
1424190,117.197260845269,-32.2399281366345,87
1424196,117.254360845269,-32.2407281366346,87
1424197,117.183560845269,-32.2415281366346,87
1424198,117.259860845269,-32.2417281366346,87
1424214,115.714460845269,-32.2864281366346,87
1424223,115.807860845269,-32.2897281366346,87
184376,115.789360845269,-32.2921281366346,87
1424234,115.794760845269,-32.3010281366346,87
184389,115.779860845269,-32.3361281366346,87
1424359,115.872960845269,-32.4030281366345,87
184412,116.122260845269,-32.4046281366346,87
1424399,115.817160845269,-32.4254281366345,87
1424478,115.794460845269,-32.4798281366346,87
1424495,115.794760845269,-32.4976281366346,87
184443,115.780660845269,-32.5184281366345,87
184447,117.633360845269,-32.5376281366346,87
184444,115.798260845269,-32.5401281366346,87
1424546,117.640260845269,-32.5520281366346,87
1424560,115.805460845269,-32.5637281366346,87
1424580,115.782460845269,-32.5754281366346,87
184464,117.628160845269,-32.6017281366345,87
1424614,117.636660845269,-32.6105281366346,87
1424635,115.932160845269,-32.6327281366346,87
1424641,115.919660845269,-32.6331281366346,87
1424647,115.932960845269,-32.6413281366346,87
184476,116.046660845269,-32.6504281366346,87
184488,116.383960845269,-32.7071281366346,87
184487,115.714760845269,-32.7074281366346,87
1424728,116.356560845269,-32.7183281366346,87
16575,115.641560845269,-32.7282281366346,87
1424763,115.639560845269,-32.7551281366345,87
1424782,115.642960845269,-32.7668281366346,87
1424783,116.347260845269,-32.7691281366346,87
1424816,116.334760845269,-32.7972281366345,87
1424845,115.661660845269,-32.8199281366346,87
1424856,116.325660845269,-32.8233281366346,87
184522,115.670460845269,-32.8398281366345,87
184523,115.986260845269,-32.8457281366346,87
1424887,115.951860845269,-32.8576281366346,87
184527,115.685560845269,-32.8729281366346,87
1424915,116.026360845269,-32.8775281366345,87
1424931,115.691460845269,-32.8839281366346,87
1424951,115.694160845269,-32.8957281366345,87
1424952,115.893460845269,-32.9018281366346,87
1424959,115.890660845269,-32.9071281366346,87
1424966,115.891460845269,-32.9158281366346,87
1425052,117.550860845269,-32.9789281366346,87
1425067,117.543460845269,-32.9879281366346,87
1425075,117.535560845269,-32.9894281366346,87
184565,115.976560845269,-32.9983281366346,87
184571,117.460360845269,-33.0053281366346,87
16586,115.696660845269,-33.0426281366346,87
1423997,118.03541546224,-31.9616277777776,87
1423999,117.94581546224,-31.9651277777775,87
1424010,118.14501546224,-31.9793277777774,87
1424059,118.52451546224,-32.0384277777774,87
1424064,118.55521546224,-32.0474277777774,87
1424069,118.68941546224,-32.0499277777775,87
1424067,118.54401546224,-32.0512277777775,87
1424076,118.70271546224,-32.0554277777775,87
1424083,119.93051546224,-32.0658277777775,87
1424096,118.72891546224,-32.0891277777775,87
1424099,118.51661546224,-32.0914277777775,87
1424110,118.14181546224,-32.1120277777775,87
1424115,118.54051546224,-32.1154277777775,87
1424111,118.14611546224,-32.1169277777776,87
1424127,118.16541546224,-32.1405277777775,87
1424129,118.30481546224,-32.1451277777775,87
1424133,118.17121546224,-32.1475277777776,87
1424120,118.15801546224,-32.1476277777774,87
1424137,118.29761546224,-32.1496277777775,87
1424136,118.14941546224,-32.1524277777775,87
1424146,118.14021546224,-32.1645277777776,87
184354,118.12591546224,-32.1807277777775,87
1424158,119.82171546224,-32.1848277777775,87
1424165,118.09041546224,-32.1989277777776,87
1424176,118.08911546224,-32.2253277777775,87
1424183,118.10291546224,-32.2273277777775,87
1424195,118.11021546224,-32.2383277777776,87
1424201,118.11731546224,-32.2447277777775,87
16548,118.07351546224,-32.2670277777776,87
1424215,118.06121546224,-32.2816277777775,87
1424232,118.05591546224,-32.3033277777775,87
1424255,118.06851546224,-32.3240277777775,87
184382,118.03201546224,-32.3247277777775,87
1424245,118.04201546224,-32.3285277777775,87
1424278,118.04451546224,-32.3466277777775,87
