1,69
2,114
3,87
4,147
5,7
6,9
7,137
8,48
9,108
10,100
11,79
12,126
13,5
14,124
15,172
16,11
17,48
18,124
19,6
20,140
21,6
22,16
23,9
24,46
25,47
26,24
27,15
28,259
29,55
30,92
31,107
32,45
33,119
34,91
35,134
36,153
37,74
38,48
39,82
40,147
41,446
42,247
43,865
44,506
45,845
46,701
47,808
48,956
49,1063
50,221
51,338
52,771
53,293
54,714
55,1147
56,489
57,1209
58,363
59,879
60,1145
61,890
62,497
63,609
64,868
65,457
66,290
67,740
68,635
69,405
70,884
71,854
72,1193
73,740
74,472
75,941
76,521
77,452
78,292
79,389
80,442
81,812
82,1235
83,521
84,326
85,2186
86,1323
87,1882
88,1617
89,2042
90,1526
91,1157
92,1686
93,1675
94,1356
95,1194
96,1984
97,2733
98,1154
99,2622
100,3003
101,3172
102,1489
103,1362
104,1291
105,2423
106,1268
