"Hylak_id","longitude","latitude","fish_ID2"
61,-95.05656658,47.9737139,31
8346,-95.97803773,48.32292501,31
8351,-92.466775,48.28465,31
8395,-93.138475,48.10895,31
8411,-92.89673055,48.06575,31
8455,-94.22463055,47.82355,31
8463,-94.63533055,47.73465,31
103555,-92.677775,48.36445,31
103592,-95.94133773,48.37352501,31
103602,-92.522875,48.35555,31
103655,-92.590775,48.34195,31
103657,-92.490975,48.34055,31
103717,-92.406375,48.27705,31
103727,-92.710575,48.29745,31
103826,-92.632075,48.23845,31
103950,-92.941775,48.21355,31
103968,-92.827575,48.20465,31
104029,-92.742075,48.19195,31
104050,-92.468775,48.17465,31
104196,-92.611575,48.11095,31
104262,-92.79153055,48.08085,31
104307,-92.68493055,48.07955,31
104334,-92.46023055,48.01905,31
104383,-92.64853055,48.04135,31
104387,-92.56833055,48.03785,31
104461,-92.65083055,48.00185,31
104497,-94.71463055,47.99345,31
104501,-92.66303055,47.98555,31
104580,-92.68643055,47.95085,31
104616,-95.59106658,47.9319139,31
104629,-95.56326658,47.9122139,31
104637,-95.66266658,47.9130139,31
104684,-95.52136658,47.8862139,31
104696,-95.47856658,47.8852139,31
104801,-93.38653055,47.83375,31
104832,-95.11246658,47.8195139,31
104836,-92.41363055,47.82325,31
104849,-94.16783055,47.83635,31
104852,-95.41706658,47.7910139,31
104885,-95.36396658,47.7933139,31
104894,-95.10446658,47.7882139,31
104900,-93.24573055,47.78885,31
104919,-95.02336658,47.7822139,31
104960,-94.04503055,47.74465,31
104974,-93.41443055,47.74675,31
104994,-95.19536658,47.7401139,31
104995,-94.80443055,47.73875,31
105003,-94.74713055,47.72195,31
105024,-93.56303055,47.72765,31
993836,-92.414175,48.38405,31
993984,-92.581875,48.37505,31
994061,-93.894775,48.36095,31
994091,-95.91363773,48.36762501,31
994103,-92.620375,48.36705,31
994209,-93.942575,48.35155,31
994282,-92.739375,48.35705,31
994598,-92.737075,48.33565,31
994904,-92.403775,48.32575,31
994916,-92.689375,48.31305,31
994952,-92.711875,48.32205,31
995319,-92.616175,48.30115,31
995635,-93.060675,48.28785,31
995636,-92.400475,48.28845,31
995734,-92.426175,48.27645,31
995800,-92.674775,48.28845,31
996364,-92.772975,48.25055,31
996682,-92.430875,48.23595,31
996786,-92.412675,48.22855,31
997123,-92.741075,48.21405,31
997902,-92.521775,48.17535,31
997929,-94.447575,48.18045,31
998279,-92.765775,48.15845,31
998457,-92.764575,48.14965,31
998509,-94.473675,48.14495,31
998844,-93.896975,48.12805,31
999030,-92.645175,48.11855,31
999141,-92.871775,48.11855,31
999501,-94.532875,48.09835,31
