"Hylak_id","longitude","latitude","fish_ID2"
48,-100.1631828,54.14960779,89
51,-100.1985828,53.22280779,89
515,-101.8796435,55.28390141,89
518,-101.4768828,55.11210779,89
529,-102.8328435,55.14990141,89
533,-102.8973435,54.91820141,89
535,-99.83488282,54.77670779,89
549,-101.2204828,54.50830779,89
550,-100.3792828,54.60800779,89
552,-101.6936435,54.51920141,89
558,-102.2463435,54.51780141,89
559,-101.4862435,54.46140141,89
561,-102.7535435,54.37220141,89
568,-100.7354828,54.17960779,89
569,-99.85878282,54.08030779,89
570,-101.0557828,54.05760779,89
577,-101.4783435,54.15820141,89
581,-102.2859435,54.01000141,89
6078,-102.2748435,55.34230141,89
6096,-100.6615828,55.25650779,89
6103,-102.2926435,55.22400141,89
6105,-103.0797435,55.33170141,89
6113,-101.9925435,54.96090141,89
6123,-102.5618435,55.27320141,89
6129,-99.79278282,55.18430779,89
6139,-100.6833828,55.14890779,89
6141,-102.5703435,55.12670141,89
6143,-102.4697435,55.16260141,89
6154,-100.5601828,55.10420779,89
6192,-102.6577435,54.96910141,89
6194,-103.0599435,54.92160141,89
6196,-101.3302435,54.98080141,89
6206,-102.0784435,54.97430141,89
6207,-102.3259435,55.01810141,89
6209,-100.5119828,54.96730779,89
6225,-100.3852828,54.88080779,89
6233,-99.88088282,54.91490779,89
6245,-102.5210435,54.89390141,89
6246,-101.5359435,54.90080141,89
6250,-100.4477828,54.81880779,89
6265,-101.4111828,54.85180779,89
6269,-102.2222435,54.83990141,89
6280,-100.8491828,54.83290779,89
6286,-101.7982435,54.81990141,89
6294,-100.1331828,54.67640779,89
6300,-100.2606828,54.78490779,89
6308,-103.0127435,54.76470141,89
6313,-101.0874828,54.69120779,89
6323,-102.8124435,54.70690141,89
6328,-101.7616435,54.74480141,89
6333,-103.1878435,54.64530141,89
6349,-101.8430435,54.65100141,89
6363,-103.0462435,54.65200141,89
6365,-101.2830828,54.59330779,89
6369,-100.8135828,54.63730779,89
6392,-100.1840828,54.55650779,89
6418,-99.68428282,54.46480779,89
6420,-102.9791435,54.49890141,89
6437,-100.3370828,54.47490779,89
6451,-102.0324435,54.48330141,89
6453,-101.8979435,54.44990141,89
6463,-101.2374828,54.40590779,89
6467,-101.4566435,54.37330141,89
6490,-102.5915435,54.36650141,89
6494,-100.7909828,54.37470779,89
6539,-101.5043435,54.22390141,89
6550,-102.5166435,54.20850141,89
6596,-100.6744828,54.02620779,89
6599,-101.3542828,54.06250779,89
6636,-101.3879828,53.97580779,89
6643,-101.3271828,53.92600779,89
6652,-102.0072435,53.91960141,89
6659,-102.3217435,53.88610141,89
6668,-102.5430435,53.86140141,89
6676,-101.4896435,53.81880141,89
6686,-102.0971435,53.82890141,89
6690,-102.2089435,53.82020141,89
6694,-100.7144828,53.77560779,89
6699,-102.4618435,53.76740141,89
6700,-100.8383828,53.80920779,89
6703,-99.62138282,53.79830779,89
6705,-102.6653435,53.78630141,89
6736,-100.5205828,53.73630779,89
6747,-100.4138828,53.69270779,89
6751,-99.87378282,53.65140779,89
6757,-100.2139828,53.65640779,89
6764,-101.0634828,53.64730779,89
6780,-101.7090435,53.58860141,89
6785,-102.4957435,53.60290141,89
6791,-102.9401435,53.60120141,89
6796,-102.8752435,53.61150141,89
6799,-99.80448282,53.56050779,89
6804,-99.61318282,53.58630779,89
6816,-101.9342435,53.59500141,89
6823,-102.7362435,53.55540141,89
6828,-102.6864435,53.50510141,89
6832,-102.8744435,53.52000141,89
6836,-99.72168282,53.48830779,89
6840,-102.7266435,53.48590141,89
6912,-101.1272828,53.27580779,89
78611,-101.6923435,55.35390141,89
78622,-100.5508828,55.34690779,89
78644,-102.1261435,55.35340141,89
78659,-101.4089828,55.35440779,89
78694,-102.9993435,55.32050141,89
78696,-102.5412435,55.31570141,89
78699,-100.5293828,55.33280779,89
78705,-102.4452435,55.33320141,89
78733,-102.0487435,55.30530141,89
78746,-100.1907828,55.31520779,89
78753,-102.8350435,55.31290141,89
78767,-102.9615435,55.31450141,89
78773,-100.8962828,55.31610779,89
78777,-102.1722435,55.28040141,89
78787,-101.3811828,55.31060779,89
78792,-102.8586435,55.33270141,89
78804,-100.0738828,55.30060779,89
78807,-103.0550435,55.30710141,89
78808,-100.3365828,55.29990779,89
78823,-100.9177828,55.29790779,89
78835,-102.0696435,55.30000141,89
78842,-101.5579435,55.30380141,89
78870,-102.8870435,55.32650141,89
78876,-100.8037828,55.29120779,89
78900,-102.2679435,55.27690141,89
78910,-99.91048282,55.29380779,89
78915,-100.9469828,55.26920779,89
78920,-101.3370828,55.28090779,89
78936,-101.7398435,55.27280141,89
78940,-100.4018828,55.27300779,89
78946,-102.1536435,55.26600141,89
78958,-101.5971435,55.27730141,89
78986,-102.4033435,55.25550141,89
78995,-102.4523435,55.25280141,89
79003,-100.7259828,55.28200779,89
79004,-100.2250828,55.26490779,89
79028,-101.6986435,55.24800141,89
79041,-102.6759435,55.27110141,89
79048,-100.8551828,55.26030779,89
79049,-103.0823435,55.26070141,89
79053,-101.6536435,55.25990141,89
79108,-102.8435435,55.24960141,89
79127,-99.86888282,55.23190779,89
79147,-102.2060435,55.21520141,89
79151,-101.0236828,55.22690779,89
79164,-101.6432435,55.22740141,89
79178,-102.9024435,55.22470141,89
79192,-102.0789435,55.20580141,89
79198,-99.69298282,55.21720779,89
79205,-100.5370828,55.20430779,89
79215,-99.84478282,55.20510779,89
79248,-101.9997435,55.21700141,89
79249,-100.8591828,55.21160779,89
79252,-102.6519435,55.20410141,89
79285,-100.6893828,55.20190779,89
79297,-101.7724435,55.19810141,89
79299,-101.0997828,55.19680779,89
79316,-100.0613828,55.19350779,89
79341,-102.1513435,55.19740141,89
79354,-100.9756828,55.18460779,89
79358,-102.1310435,55.18150141,89
79365,-102.3369435,55.19680141,89
79402,-100.8630828,55.19500779,89
79412,-102.6319435,55.17940141,89
79432,-102.2396435,55.16470141,89
79433,-102.1929435,55.16190141,89
