hylak_id,fishnet,fish_id,image_sat,image_id,image_date,cloud_cover,sr_b1_60,sr_b2_60,sr_b3_60,sr_b4_60,sr_b5_60,sr_b7_60,qa_pixel_60,qa_radsat_60,sr_qa_aerosol_60
1358758,1,776,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_120029_20231026,2023-10-26,0.2,8210.4,8643.16,9591.64,9803.16,9596.28,8304.64,0,0.0,93.44
1358758,1,776,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_120029_20231111,2023-11-11,1.43,9757.2,10311.0,11206.16,11539.2,10887.0,8535.48,0,0.0,90.88
1358758,1,776,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_120029_20240302,2024-03-02,8.13,12898.64,13666.84,14655.8,14894.52,12985.12,9848.68,0,0.0,93.44
1358758,1,776,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_120029_20240419,2024-04-19,42.08,9434.64,10021.36,11109.12,11566.16,10620.28,8686.64,0,0.0,93.44
1358758,1,776,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_121028_20220507,2022-05-07,0.03,8894.44,9194.36,9992.76,10783.88,12053.96,10789.72,0,0.0,93.52
1358758,1,776,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_121028_20230729,2023-07-29,1.01,7841.96,8086.0,8856.96,8618.76,10092.12,7803.16,0,0.0,94.72
1358758,1,776,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_121028_20230814,2023-08-14,23.21,8002.8,8288.44,9309.8,9143.52,9468.32,7709.12,0,0.0,134.4
1358758,1,776,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_121028_20231001,2023-10-01,0.1,7999.16,8345.16,9398.96,9360.52,9735.6,7965.88,0,0.0,93.44
1358758,1,776,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_121028_20240325,2024-03-25,3.91,11678.12,12210.72,13173.92,13548.04,12527.56,9102.12,0,0.0,94.72
1358758,1,776,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_121028_20240410,2024-04-10,0.38,9618.2,10286.92,11536.8,11950.52,11314.96,9336.2,0,0.0,192.0
1408571,1,415,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_119062_20210319,2021-03-19,42.41,7476.64,7513.64,7711.28,7605.8,8736.52,7569.88,0,0.0,90.88
1408571,1,415,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_119062_20210522,2021-05-22,25.64,7466.8,7425.44,7602.36,7383.28,8469.88,7493.32,0,0.0,158.72
1092749,1,310,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_232069_20211121,2021-11-21,16.86,7285.08,7357.04,7546.52,7480.44,7723.88,7417.92,0,0.0,92.88
1092749,1,310,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_232069_20220124,2022-01-24,37.89,7261.68,7334.4,7513.72,7483.88,7809.48,7389.4,0,0.0,94.48
1410578,1,387,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_099065_20221105,2022-11-05,17.15,7485.04,7704.76,8222.52,8122.64,9099.12,8022.28,0,0.0,218.88
1410578,1,387,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_099065_20230225,2023-02-25,44.95,7674.88,7885.72,8311.32,8213.16,8488.36,7870.32,0,0.0,158.4
1410578,1,387,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_099065_20230313,2023-03-13,31.4,7517.08,7568.72,7804.32,7657.52,7777.68,7424.04,0,0.0,157.44
1410578,1,387,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_099065_20230430,2023-04-30,34.34,7494.16,7455.56,7581.44,7396.24,7493.32,7376.88,0,0.0,155.36
1410578,1,387,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_099065_20240127,2024-01-27,26.03,7876.16,7921.56,8242.0,8002.6,9622.84,8059.08,0,0.0,93.44
1410578,1,387,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_099066_20230313,2023-03-13,26.91,7589.24,7639.72,7850.44,7719.92,7832.36,7426.36,0,0.0,106.24
1410578,1,387,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_099066_20230430,2023-04-30,34.84,7369.6,7349.4,7491.4,7312.96,7392.52,7360.4,0,0.0,158.8
1410578,1,387,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_099066_20230921,2023-09-21,14.8,8662.24,8668.88,8732.76,8741.6,9038.6,8225.68,0,0.0,90.88
1410578,1,387,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_099066_20240127,2024-01-27,28.01,7860.92,7914.6,8239.84,8012.2,9628.32,8062.2,0,0.0,90.96
1411281,1,348,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_171068_20211110,2021-11-10,0.17,7785.4,8272.4,9349.72,9310.84,10186.08,8253.96,0,0.0,221.52
1419489,1,228,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_167078_20240412,2024-04-12,14.52,7161.4,7380.2,7716.32,7659.88,8635.16,7993.56,0,0.0,175.36
1419489,1,228,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_167079_20240412,2024-04-12,9.07,7223.24,7406.16,7700.96,7631.52,8577.96,7987.4,0,0.0,169.04
1409705,1,387,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_101064_20210406,2021-04-06,16.07,7404.88,7394.72,7510.56,7361.12,8126.16,7529.0,0,0.0,160.56
1082117,1,399,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_011062_20230608,2023-06-08,22.26,7532.76,7626.44,8064.04,7746.96,8303.96,7573.04,0,0.0,171.6
1420897,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169080_20230219,2023-02-19,38.69,7015.76,8134.96,10251.32,10587.48,9538.72,7847.84,0,0.0,221.44
1420897,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169080_20230408,2023-04-08,14.86,9273.32,10074.36,11473.32,11974.08,9476.84,7534.68,0,0.0,134.4
1420897,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169080_20230526,2023-05-26,1.56,9050.36,9782.8,11013.96,11418.84,8962.2,7397.12,0,0.0,90.88
1420897,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169080_20230611,2023-06-11,0.02,9152.72,9949.8,11185.8,11550.84,8917.0,7383.36,0,0.0,90.88
1420897,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169080_20230713,2023-07-13,2.73,9280.52,10163.92,11517.88,11943.44,9328.4,7411.56,0,0.0,157.44
1420897,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169080_20230814,2023-08-14,3.47,9056.6,9993.2,11412.36,11991.36,10177.8,7684.56,0,0.0,154.88
1420897,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169080_20230830,2023-08-30,0.03,9484.24,10351.2,11634.56,12283.24,10633.64,7528.72,0,0.0,157.44
1420897,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_170079_20220428,2022-04-28,40.3,9519.0,10089.6,11029.92,11514.88,11588.92,7430.44,0,0.0,154.88
1420897,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_170079_20230314,2023-03-14,9.27,9138.32,9886.64,11293.44,11934.64,9396.4,7361.56,0,0.0,90.88
1420897,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_170079_20230415,2023-04-15,11.6,9489.0,10082.08,11324.2,11720.64,9023.4,7387.16,0,0.0,93.44
1420897,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_170079_20230602,2023-06-02,0.0,9069.48,9778.36,11072.92,11409.64,8805.56,7379.92,0,0.0,90.88
1420897,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_170079_20230618,2023-06-18,0.01,9215.44,9922.2,11167.68,11553.36,9109.24,7408.44,0,0.0,93.44
1420897,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_170079_20230704,2023-07-04,0.01,9137.24,9913.56,11280.04,11716.56,9252.0,7482.64,0,0.0,154.88
1420897,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_170079_20230821,2023-08-21,0.01,9457.0,10149.32,11389.8,11970.44,10357.24,7580.2,0,0.0,93.44
1420897,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_170080_20230415,2023-04-15,1.55,9402.64,10024.28,11306.28,11706.4,9007.88,7386.44,0,0.0,93.44
1346445,1,800,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_166026_20230708,2023-07-08,5.37,7995.0,8594.8,9765.72,10085.84,10377.32,9448.24,0,0.0,221.44
1359036,1,776,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_121028_20230729,2023-07-29,1.01,7518.8,7975.24,9338.6,9087.0,8630.44,7408.36,0,0.0,131.84
1359036,1,776,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_121028_20230915,2023-09-15,10.75,7691.64,8292.4,9545.72,9525.36,9366.48,7712.88,0,0.0,218.88
1359036,1,776,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_121028_20231001,2023-10-01,0.1,7819.68,8239.6,9080.76,9175.96,8212.72,7444.44,0,0.0,93.44
1359036,1,776,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_121028_20240410,2024-04-10,0.38,7982.84,8579.32,10291.76,10010.64,9493.8,8306.36,0,0.0,218.88
1359036,1,776,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_121029_20230729,2023-07-29,22.25,7493.6,7967.44,9331.96,9102.6,8656.24,7411.44,0,0.0,129.28
1359036,1,776,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_121029_20230915,2023-09-15,0.15,7734.16,8333.32,9561.16,9544.84,9380.88,7712.2,0,0.0,222.72
