"Hylak_id","longitude","latitude","fish_ID"
1410347,140.521242549424,-7.69710555555565,387
181553,140.078042549425,-7.69760555555564,387
1410354,138.878942549424,-7.7057055555556,387
181555,140.520442549425,-7.70720555555562,387
1410363,138.759642549424,-7.71560555555556,387
1410368,140.042842549424,-7.72680555555553,387
1410379,139.509342549424,-7.72750555555564,387
1410378,138.780842549425,-7.73220555555565,387
181561,139.663142549425,-7.73220555555565,387
1410382,140.534942549424,-7.73730555555557,387
1410384,138.757242549424,-7.73970555555564,387
1410385,139.284942549424,-7.74210555555561,387
1410392,140.538542549424,-7.74730555555561,387
1410395,138.704342549424,-7.75530555555559,387
181560,139.227642549424,-7.75680555555562,387
1410401,139.508042549424,-7.75710555555565,387
1410398,140.538442549425,-7.75870555555565,387
181565,139.673142549424,-7.75910555555566,387
1410400,139.208242549425,-7.76070555555566,387
1410403,138.871342549424,-7.76100555555558,387
181566,140.537042549424,-7.76550555555559,387
181563,140.048642549424,-7.76980555555565,387
181569,140.564842549425,-7.76990555555562,387
1410419,138.869742549424,-7.77070555555554,387
1410413,139.289042549424,-7.77210555555564,387
16088,139.271042549424,-7.77820555555559,387
1410425,139.292642549424,-7.78060555555567,387
1410428,138.918442549425,-7.78520555555559,387
1410430,138.421042549424,-7.7897055555556,387
1410432,138.853442549424,-7.79140555555557,387
1410431,139.210742549424,-7.79730555555562,387
1410438,140.536242549425,-7.80130555555564,387
1410436,138.377542549424,-7.8017055555556,387
1410440,139.934542549424,-7.80210555555556,387
1410439,140.542042549424,-7.80500555555562,387
181580,139.679742549424,-7.80810555555558,387
1410441,139.926442549424,-7.81230555555555,387
1410442,138.421142549424,-7.81980555555566,387
1410443,140.005542549424,-7.82160555555561,387
1410445,139.215942549424,-7.82420555555564,387
1410444,138.659942549424,-7.82590555555561,387
181578,139.502142549425,-7.82600555555564,387
181583,139.654942549424,-7.82800555555565,387
1410450,140.027742549424,-7.8316055555556,387
181584,140.486542549424,-7.83180555555566,387
1410458,139.975942549424,-7.84010555555562,387
1410459,138.517742549424,-7.84250555555565,387
181585,139.923042549424,-7.84530555555557,387
181589,139.624242549424,-7.85320555555563,387
1410474,140.468642549425,-7.86380555555564,387
1410469,139.992242549425,-7.8735055555556,387
181595,139.765242549424,-7.87530555555566,387
1410473,139.630042549425,-7.87830555555564,387
1410482,140.464242549424,-7.88600555555564,387
1410483,139.636742549425,-7.8861055555555,387
1410486,139.630442549424,-7.89460555555564,387
1410489,139.620942549424,-7.90010555555557,387
181594,139.657142549425,-7.90320555555564,387
1410495,139.632342549424,-7.9052055555556,387
1410501,139.584242549425,-7.90740555555561,387
1410499,139.627442549424,-7.91340555555558,387
