Asset,1m,10m,15m,20m,30m,40m,60m,90m,100m,125m,250m
14,69735,69735,69735,69735,69735,69735,69735,69735,69735,69735,69735
15,895161,895161,895161,895161,895161,895161,895161,895161,895161,895161,895161
16,745524,745524,745524,745524,745524,745524,745524,745524,745524,745524,745524
17,196548,196548,196548,196548,196548,196548,196548,196548,196548,196548,196548
31,64421,64421,64421,64421,64421,64421,64421,64421,64421,64421,64421
32,503577,503577,503577,503577,503577,503577,503577,503577,503577,503577,503577
33,111780,111780,111780,111780,111780,111780,111780,111780,111780,111780,111780
34,1697108,1697108,1697108,1697108,1697108,1697108,1697108,1697108,1697108,1697108,1697108
35,1519336,1519336,1519336,1519336,1519336,1519336,1519336,1519336,1519336,1519336,1519336
36,1842064,1842064,1842064,1842064,1842064,1842064,1842064,1842064,1842064,1842064,1842064
37,1129380,1129380,1129380,1129380,1129380,1129380,1129380,1129380,1129380,1129380,1129380
38,213700,213700,213700,213700,213700,213700,213700,213700,213700,213700,213700
39,21229,21229,21229,21229,21229,21229,21229,21229,21229,21229,21229
51,1387659,1387659,1387659,1387659,1387659,1387659,1387659,1387659,1387659,1387659,1387659
52,2005110,2005110,2005110,2005110,2005110,2005110,2005110,2005110,2005110,2005110,2005110
53,1120278,1120278,1120278,1120278,1120278,1120278,1120278,1120278,1120278,1120278,1120278
54,709384,709384,709384,709384,709384,709384,709384,709384,709384,709384,709384
55,662655,662655,662655,662655,662655,662655,662655,662655,662655,662655,662655
56,1120278,1120278,1120278,1120278,1120278,1120278,1120278,1120278,1120278,1120278,1120278
57,1330967,1330967,1330967,1330967,1330967,1330967,1330967,1330967,1330967,1330967,1330967
58,1594536,1594536,1594536,1594536,1594536,1594536,1594536,1594536,1594536,1594536,1594536
59,351144,351144,351144,351144,351144,351144,351144,351144,351144,351144,351144
60,541674,541674,541674,541674,541674,541674,541674,541674,541674,541674,541674
67,49662,49662,49662,49662,49662,49662,49662,49662,49662,49662,49662
68,261995,261995,261995,261995,261995,261995,261995,261995,261995,261995,261995
69,309869,309869,309869,309869,309869,309869,309869,309869,309869,309869,309869
70,183282,183282,183282,183282,183688,183688,183688,183688,183688,183688,183688
71,2395819,2395819,2395819,2395819,2395819,2395819,2395819,2395819,2395819,2395819,2395819
72,1811654,1811654,1811654,1811654,1811654,1811654,1811654,1811654,1811654,1811654,1811654
73,1398668,1398668,1398668,1398668,1398668,1398668,1398668,1398668,1398668,1398668,1398668
74,667718,667718,667718,667718,667718,667718,667718,667718,667718,667718,667718
75,213978,213978,213978,213978,213978,213978,213978,213978,213978,213978,213978
76,1680519,1680519,1680519,1680519,1680519,1680519,1680519,1680519,1680519,1680519,1680519
77,2433771,2433771,2433771,2433771,2433771,2433771,2433771,2433771,2433771,2433771,2433771
78,1614902,1614902,1614902,1614902,1614902,1614902,1614902,1614902,1614902,1614902,1614902
79,1583502,1583502,1583502,1583502,1583502,1583502,1583502,1583502,1583502,1583502,1583502
80,1884720,1884720,1884720,1884720,1884720,1884720,1884720,1884720,1884720,1884720,1884720
87,254924,254924,254924,254924,254924,254924,254924,254924,254924,254924,254924
88,768825,768825,768825,768825,768825,768825,768825,768825,768825,768825,768825
89,1096358,1096358,1096358,1096358,1096358,1096358,1096358,1096358,1096358,1096358,1096358
90,877724,877724,877724,877724,877724,877724,877724,877724,877724,877724,877724
91,1680415,1680415,1680415,1680415,1680415,1680415,1680415,1680415,1680415,1680415,1680415
92,1860925,1860925,1860925,1860925,1860925,1860925,1860925,1860925,1860925,1860925,1860925
93,1676591,1676591,1676591,1676591,1676591,1676591,1676591,1676591,1676591,1676591,1676591
94,843662,843662,843662,843662,843662,843662,843662,843662,843662,843662,843662
95,529476,529476,529476,529476,529476,529476,529476,529476,529476,529476,529476
96,2153583,2153583,2153583,2153583,2153583,2153583,2153583,2153583,2153583,2153583,2153583
97,2447590,2447590,2447590,2447590,2447590,2447590,2447590,2447590,2447590,2447590,2447590
98,1862413,1862413,1862413,1862413,1862413,1862413,1862413,1862413,1862413,1862413,1862413
99,1493203,1493203,1493203,1493203,1493203,1493203,1493203,1493203,1493203,1493203,1493203
100,1638498,1638498,1638498,1638498,1638498,1638498,1638498,1638498,1638498,1638498,1638498
107,637704,637704,637704,637704,637704,637704,637704,637704,637704,637704,637704
108,2863825,2863825,2863825,-,2863825,2863825,2863825,2863825,2863825,2863825,2863825
109,1608118,1608118,1608118,1608118,1608118,1608118,1608118,1608118,1608118,1608118,1608118
110,1222630,1222630,1222630,1222630,1222630,1222630,1222630,1222630,1222630,1222630,1222630
111,231391,231391,231391,231391,231391,231391,231391,231391,231391,231391,231391
112,62754,62754,62754,62754,62754,62754,62754,62754,62754,62754,62754
113,212219,212219,212219,212219,212219,212219,212219,212219,212219,212219,212219
115,130602,130602,130602,130602,130602,130602,130602,130602,130602,130602,130602
116,1689925,1689925,1689925,1689925,1689925,1689925,1689925,1689925,1689925,1689925,1689925
117,2044078,2044078,2044078,2044078,2044078,2044078,2044078,2044078,2044078,2044078,2044078
118,1430551,1430551,1430551,1430551,1430551,1430551,1430551,1430551,1430551,1430551,1430551
119,1614414,1614414,1614414,1614414,1614414,1614414,1614414,1614414,1614414,1614414,1614414
120,937251,937251,937251,937251,937251,937251,937251,937251,937251,937251,937251
124,83057,83057,83057,83057,83057,83057,83057,83057,83057,83057,83057
125,54471,54471,54471,54471,54471,54471,54471,54471,54471,54471,54471
126,173904,173904,173904,173904,173904,173904,173904,173904,173904,173904,173904
127,1154331,1154331,1154331,1154331,1154331,1154331,1154331,1154331,1154331,1154331,1154331
128,2529290,2529290,2529290,2529290,2529290,2529290,2529290,2529290,2529290,2529290,2529290
129,2682329,2682329,2682329,2682329,2682329,2682329,2682329,2682329,2682329,2682329,2682329
130,2853556,2853556,2853556,2853556,2853556,2853556,-,-,2853556,2853556,-
131,250870,250870,250870,250870,250870,250870,250870,250870,250870,250870,250870
135,80165,80165,80165,80165,80165,80165,80165,80165,80165,80165,80165
136,2659096,2659096,2659096,2659096,2659096,2659096,2659096,2659096,2659096,2659096,2659096
137,2048975,2048975,2048975,2048975,2048975,2048975,2048975,2048975,2048975,2048975,2048975
138,1206439,1206439,1206439,1206439,1206439,1206439,1206439,1206439,1206439,1206439,1206439
139,1034425,1034425,1034425,1034425,1034425,1034425,1034425,1034425,1034425,1034425,1034425
140,131305,131305,131305,131305,131305,131305,131305,131305,131305,131305,131305
144,431746,431746,431746,431746,431746,431746,431746,431746,431746,431746,431746
145,395699,395699,395699,395699,395699,395699,395699,395699,395699,395699,395699
146,1976380,1976380,1976380,1976380,1976380,1976380,1976380,1976380,1976380,1976380,1976380
147,3079160,500000,3079160,-,3079160,-,3079160,-,3079160,3079160,3079160
148,3024003,3024003,3024003,3024003,3024003,-,3024003,3024003,3024003,-,3024003
149,2708084,2708084,2708084,2708084,2708084,2708084,2708084,2708084,2708084,2708084,2708084
150,2602671,2602671,2602671,2602671,2602671,2602671,2602671,2602671,2602671,2602671,2602671
151,1796460,1796460,1796460,1796460,1796460,1796460,1796460,1796460,1796460,1796460,1796460
152,520,520,520,520,520,520,520,520,520,520,520
154,39540,39540,39540,39540,39540,39540,39540,39540,39540,39540,39540
155,183264,183264,183264,183264,183264,183264,183264,183264,183264,183264,183264
156,1673159,1673159,1673159,1673159,1673159,1673159,1673159,1673159,1673159,1673159,1673159
157,417961,417961,417961,417961,417961,417961,417961,417961,417961,417961,417961
161,16919,16919,16919,16919,16919,16919,16919,16919,16919,16919,16919
162,40138,40138,40138,40138,40138,40138,40138,40138,40138,40138,40138
163,340730,340730,340730,340730,340730,340730,340730,340730,340730,340730,340730
164,1437531,1437531,1437531,1437531,1437531,1437531,1437531,1437531,1437531,1437531,1437531
165,3167443,3167443,3167443,-,3167443,3167443,3167443,-,-,3167443,-
166,600000,-,3340706,3340706,3340706,3340706,3340706,3340706,3340706,3340706,-
167,2825997,2825997,2825997,2825997,2825997,-,2825997,-,2825997,2825997,2825997
168,2238632,2238632,2238632,2238632,2238632,2238632,2238632,2238632,2238632,2238632,2238632
169,1394246,1394246,1394246,1394246,1394246,1394246,1394246,1394246,1394246,1394246,1394246
170,1503586,1503586,1503586,1503586,1503586,1503586,1503586,1503586,1503586,1503586,1503586
171,2601448,2601448,2601448,2601448,2601448,2601448,2601448,2601448,2601448,2601448,2601448
172,1693301,1693301,1693301,1693301,1693301,1693301,1693301,1693301,1693301,1693301,1693301
173,482483,482483,482483,482483,482483,482483,482483,482483,482483,482483,482483
174,380454,380454,380454,380454,380454,380454,380454,380454,380454,380454,380454
175,40617,40617,40617,40617,40617,40617,40617,40617,40617,40617,40617
176,95877,95877,95877,95877,95877,95877,95877,95877,95877,95877,95877
177,283519,283519,283519,283519,283519,283519,283519,283519,283519,283519,283519
178,404972,404972,404972,404972,404972,404972,404972,404972,404972,404972,404972
179,240759,240759,240759,240759,240759,240759,240759,240759,240759,240759,240759
181,1096562,1096562,1096562,1096562,1096562,1096562,1096562,1096562,1096562,1096562,1096562
182,1394786,1394786,1394786,1394786,1394786,1394786,1394786,1394786,1394786,1394786,1394786
183,1307946,1307946,1307946,1307946,1307946,1307946,1307946,1307946,1307946,1307946,1307946
184,911503,911503,911503,911503,911503,911503,911503,911503,911503,911503,911503
185,3195387,3195387,3195387,3195387,3195387,3195387,3195387,-,3195387,100000,3195387
186,2623509,2623509,2623509,2623509,2623509,2623509,2623509,2623509,2623509,2623509,2623509
187,1976576,1976576,1976576,1976576,1976576,1976576,1976576,1976576,1976576,1976576,1976576
188,2521789,2521789,2521789,2521789,2521789,2521789,2521789,2521789,2521789,2521789,2521789
189,2613623,2613623,2613623,2613623,2613623,2613623,2613623,2613623,2613623,2613623,2613623
190,2366606,2366606,2366606,2366606,2366606,2366606,2366606,2366606,2366606,2366606,2366606
191,1722129,1722129,1722129,1722129,1722129,1722129,1722129,1722129,1722129,1722129,1722129
192,1208800,1208800,1208800,1208800,1208800,1208800,1208800,1208800,1208800,1208800,1208800
193,1559034,1559034,1559034,1559034,1559034,1559034,1559034,1559034,1559034,1559034,1559034
194,317742,317742,317742,317742,317742,317742,317742,317742,317742,317742,317742
197,640249,640249,640249,640249,640249,640249,640249,640249,640249,640249,640249
198,2161874,2161874,2161874,2161874,2161874,2161874,2161874,2161874,2161874,2161874,2161874
199,391051,391051,391051,391051,391051,391051,391051,391051,391051,391051,391051
200,97268,97268,97268,97268,97268,97268,97268,97268,97268,97268,97268
201,1847602,1847602,1847602,1847602,1847602,1847602,1847602,1847602,1847602,1847602,1847602
202,2892209,2892209,2892209,2892209,2892209,2892209,2892209,2892209,2892209,2892209,2892209
203,1981901,1981901,1981901,1981901,1981901,1981901,1981901,1981901,1981901,1981901,1981901
204,1965156,1965156,1965156,1965156,1965156,1965156,1965156,1965156,1965156,1965156,1965156
205,1219899,1219899,1219899,1219899,1219899,1219899,1219899,1219899,1219899,1219899,1219899
206,900000,900000,900000,800000,800000,800000,800000,800000,900000,800000,800000
207,-,-,-,-,-,-,-,-,-,-,-
208,2231939,2231939,2231939,2231939,2231939,2231939,2231939,2231939,2231939,2231939,2231939
209,1361162,1361162,1361162,1361162,1361162,1361162,1361162,1361162,1361162,1361162,1361162
210,2014950,2014950,2014950,2014950,2014950,2014950,2014950,2014950,2014950,2014950,2014950
211,1032321,1032321,1032321,1032321,1032321,1032321,1032321,1032321,1032321,1032321,1032321
212,1386696,1386696,1386696,1386696,1386696,1386696,1386696,1386696,1386696,1386696,1386696
213,741369,741369,741369,741369,741369,741369,741369,741369,741369,741369,741369
214,1059523,1059523,1059523,1059523,1059523,1059523,1059523,1059523,1059523,1059523,1059523
215,102682,102682,102682,102682,102682,102682,102682,102682,102682,102682,102682
216,648209,648209,648209,648209,648209,648209,648209,648209,648209,648209,648209
217,1234592,1234592,1234592,1234592,1234592,1234592,1234592,1234592,1234592,1234592,1234592
218,594513,594513,594513,594513,594513,594513,594513,594513,594513,594513,594513
219,49919,49919,49919,49919,49919,49919,49919,49919,49919,49919,49919
220,10986,10986,10986,10986,10986,10986,10986,10986,10986,10986,10986
221,589792,589792,589792,589792,589792,589792,589792,589792,589792,589792,589792
222,278486,278486,278486,278486,278486,278486,278486,278486,278486,278486,278486
223,277281,277281,277281,277281,277281,277281,277281,277281,277281,277281,277281
224,85048,85048,85048,85048,85048,85048,85048,85048,85048,85048,85048
225,1362470,1362470,1362470,1362470,1362470,1362470,1362470,1362470,1362470,1362470,1362470
226,2340907,2340907,2340907,2340907,2340907,2340907,2340907,2340907,2340907,2340907,2340907
227,2191658,2191658,2191658,2191658,2191658,2191658,2191658,2191658,2191658,2191658,2191658
228,2194189,2194189,2194189,2194189,2194189,2194189,2194189,2194189,2194189,2194189,2194189
229,614630,614630,614630,614630,614630,614630,614630,614630,614630,614630,614630
230,346567,346567,346567,346567,346567,346567,346567,346567,346567,346567,346567
231,1190391,1190391,1190391,1190391,1190391,1190391,1190391,1190391,1190391,1190391,1190391
232,266966,266966,266966,266966,266966,266966,266966,266966,266966,266966,266966
233,750426,750426,750426,750426,750426,750426,750426,750426,750426,750426,750426
234,908685,908685,908685,908685,908685,908685,908685,908685,908685,908685,908685
235,1336166,1336166,1336166,1336166,1336166,1336166,1336166,1336166,1336166,1336166,1336166
236,845138,845138,845138,845138,845138,845138,845138,845138,845138,845138,845138
237,282265,282265,282265,282265,282265,282265,282265,282265,282265,282265,282265
238,1270,1270,1270,1270,1270,1270,1270,1270,1270,1270,1270
239,2632519,2632519,2632519,2632519,2632519,2632519,2632519,2632519,2632519,2632519,2632519
240,2732247,2732247,2732247,1800000,2732247,2732247,2732247,2732247,2732247,2732247,2732247
241,2521158,2521158,2521158,2521158,2521158,2521158,2521158,2521158,2521158,2521158,2521158
242,2333745,2333745,2333745,2333745,2333745,2333745,2333745,2333745,2333745,2333745,2333745
