Asset,1m,10m,15m,20m,30m,40m,60m,90m,100m,125m,250m
703,-,-,-,-,-,-,-,-,-,-,-
715,-,-,-,-,-,-,546328,-,-,-,-
727,-,-,-,-,-,-,610269,-,-,-,-
728,-,-,-,-,-,-,-,-,-,-,-
729,-,-,-,-,-,-,-,-,-,-,-
730,-,-,-,-,-,-,-,-,-,-,-
735,-,-,-,-,-,-,-,-,-,-,-
738,-,-,-,-,-,-,-,-,-,-,-
755,-,-,-,-,-,-,187405,-,-,-,-
756,-,-,-,-,-,-,347754,-,-,-,-
757,-,-,-,-,-,-,-,-,-,-,-
758,-,-,-,-,-,-,-,-,-,-,-
760,-,-,-,-,-,-,-,-,-,-,-
761,-,-,-,-,-,-,-,-,-,-,-
766,-,-,-,-,-,-,-,-,-,-,-
767,-,-,-,-,-,-,546562,-,-,-,-
768,-,-,-,-,-,-,832475,-,-,-,-
769,-,-,-,-,-,-,-,-,-,-,-
770,-,-,-,-,-,-,-,-,-,-,-
775,-,-,-,-,-,-,361502,-,-,-,-
776,-,-,-,-,-,-,-,-,-,-,-
777,-,-,-,-,-,-,107768,-,-,-,-
785,-,-,-,-,-,-,-,-,-,-,-
786,-,-,-,-,-,-,1050999,-,-,-,-
787,-,-,-,-,-,-,-,-,-,-,-
791,-,-,-,-,-,-,3697280,-,-,-,-
796,-,-,-,-,-,-,-,-,-,-,-
797,-,-,-,-,-,-,921140,-,-,-,-
798,-,-,-,-,-,-,-,-,-,-,-
799,-,-,-,-,-,-,718690,-,-,-,-
800,-,-,-,-,-,-,-,-,-,-,-
801,-,-,-,-,-,-,779951,-,-,-,-
802,-,-,-,-,-,-,395444,-,-,-,-
805,-,-,-,-,-,-,597584,-,-,-,-
806,-,-,-,-,-,-,168325,-,-,-,-
812,-,-,-,-,-,-,139944,-,-,-,-
814,-,-,-,-,-,-,98067,-,-,-,-
815,-,-,-,-,-,-,2643443,-,-,-,-
816,-,-,-,-,-,-,2567042,-,-,-,-
821,-,-,-,-,-,-,2123056,-,-,-,-
825,-,-,-,-,-,-,540390,-,-,-,-
826,-,-,-,-,-,-,499155,-,-,-,-
827,-,-,-,-,-,-,1523519,-,-,-,-
828,-,-,-,-,-,-,757394,-,-,-,-
829,-,-,-,-,-,-,-,-,-,-,-
830,-,-,-,-,-,-,380504,-,-,-,-
831,-,-,-,-,-,-,1610507,-,-,-,-
832,-,-,-,-,-,-,998518,-,-,-,-
835,-,-,-,-,-,-,155365,-,-,-,-
836,-,-,-,-,-,-,29587,-,-,-,-
840,-,-,-,-,-,-,-,-,-,-,-
841,-,-,-,-,-,-,48,-,-,-,-
842,-,-,-,-,-,-,1576066,-,-,-,-
843,-,-,-,-,-,-,402261,-,-,-,-
844,-,-,-,-,-,-,441930,-,-,-,-
845,-,-,-,-,-,-,1259252,-,-,-,-
846,-,-,-,-,-,-,-,-,-,-,-
848,-,-,-,-,-,-,-,-,-,-,-
851,-,-,-,-,-,-,264,-,-,-,-
855,-,-,-,-,-,-,383606,-,-,-,-
856,-,-,-,-,-,-,1625038,-,-,-,-
857,-,-,-,-,-,-,2316754,-,-,-,-
858,-,-,-,-,-,-,1137323,-,-,-,-
859,-,-,-,-,-,-,367233,-,-,-,-
861,-,-,-,-,-,-,1089291,-,-,-,-
862,-,-,-,-,-,-,875577,-,-,-,-
865,-,-,-,-,-,-,312207,-,-,-,-
869,-,-,-,-,-,-,184247,-,-,-,-
871,-,-,-,-,-,-,50660,-,-,-,-
873,-,-,-,-,-,-,1932285,-,-,-,-
874,-,-,-,-,-,-,1424034,-,-,-,-
875,-,-,-,-,-,-,1923420,-,-,-,-
880,-,-,-,-,-,-,2917557,-,-,-,-
881,-,-,-,-,-,-,74875,-,-,-,-
882,-,-,-,-,-,-,49110,-,-,-,-
884,-,-,-,-,-,-,8256,-,-,-,-
885,-,-,-,-,-,-,7155,-,-,-,-
886,-,-,-,-,-,-,2586139,-,-,-,-
887,-,-,-,-,-,-,100000,-,-,-,-
888,-,-,-,-,-,-,100000,-,-,-,-
889,-,-,-,-,-,-,400013,-,-,-,-
891,-,-,-,-,-,-,100000,-,-,-,-
892,-,-,-,-,-,-,100000,-,-,-,-
896,-,-,-,-,-,-,500000,-,-,-,-
897,-,-,-,-,-,-,371396,-,-,-,-
899,-,-,-,-,-,-,-,-,-,-,-
900,-,-,-,-,-,-,281369,-,-,-,-
901,-,-,-,-,-,-,318342,-,-,-,-
902,-,-,-,-,-,-,600000,-,-,-,-
903,-,-,-,-,-,-,-,-,-,-,-
904,-,-,-,-,-,-,1900000,-,-,-,-
909,-,-,-,-,-,-,-,-,-,-,-
911,-,-,-,-,-,-,577108,-,-,-,-
914,-,-,-,-,-,-,-,-,-,-,-
916,-,-,-,-,-,-,263707,-,-,-,-
917,-,-,-,-,-,-,-,-,-,-,-
918,-,-,-,-,-,-,-,-,-,-,-
919,-,-,-,-,-,-,-,-,-,-,-
920,-,-,-,-,-,-,-,-,-,-,-
921,-,-,-,-,-,-,-,-,-,-,-
922,-,-,-,-,-,-,-,-,-,-,-
923,-,-,-,-,-,-,-,-,-,-,-
926,-,-,-,-,-,-,-,-,-,-,-
928,-,-,-,-,-,-,-,-,-,-,-
929,-,-,-,-,-,-,-,-,-,-,-
930,-,-,-,-,-,-,-,-,-,-,-
931,-,-,-,-,-,-,-,-,-,-,-
932,-,-,-,-,-,-,-,-,-,-,-
933,-,-,-,-,-,-,-,-,-,-,-
934,-,-,-,-,-,-,-,-,-,-,-
940,-,-,-,-,-,-,-,-,-,-,-
947,-,-,-,-,-,-,-,-,-,-,-
948,-,-,-,-,-,-,-,-,-,-,-
949,-,-,-,-,-,-,-,-,-,-,-
950,-,-,-,-,-,-,-,-,-,-,-
951,-,-,-,-,-,-,-,-,-,-,-
952,-,-,-,-,-,-,-,-,-,-,-
953,-,-,-,-,-,-,-,-,-,-,-
954,-,-,-,-,-,-,-,-,-,-,-
955,-,-,-,-,-,-,-,-,-,-,-
956,-,-,-,-,-,-,-,-,-,-,-
957,-,-,-,-,-,-,-,-,-,-,-
959,-,-,-,-,-,-,-,-,-,-,-
960,-,-,-,-,-,-,-,-,-,-,-
965,-,-,-,-,-,-,-,-,-,-,-
966,-,-,-,-,-,-,-,-,-,-,-
967,-,-,-,-,-,-,-,-,-,-,-
968,-,-,-,-,-,-,-,-,-,-,-
969,-,-,-,-,-,-,-,-,-,-,-
977,-,-,-,-,-,-,-,-,-,-,-
980,-,-,-,-,-,-,-,-,-,-,-
981,-,-,-,-,-,-,-,-,-,-,-
982,-,-,-,-,-,-,-,-,-,-,-
983,-,-,-,-,-,-,-,-,-,-,-
984,-,-,-,-,-,-,-,-,-,-,-
985,-,-,-,-,-,-,-,-,-,-,-
986,-,-,-,-,-,-,-,-,-,-,-
987,-,-,-,-,-,-,-,-,-,-,-
988,-,-,-,-,-,-,-,-,-,-,-
1004,-,-,-,-,-,-,-,-,-,-,-
1010,-,-,-,-,-,-,-,-,-,-,-
1012,-,-,-,-,-,-,-,-,-,-,-
1013,-,-,-,-,-,-,-,-,-,-,-
1014,-,-,-,-,-,-,-,-,-,-,-
1015,-,-,-,-,-,-,-,-,-,-,-
1027,-,-,-,-,-,-,-,-,-,-,-
1041,-,-,-,-,-,-,-,-,-,-,-
1042,-,-,-,-,-,-,-,-,-,-,-
